epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.09706666666666663,25.95229133585332,0.001,0.24,2.621247923251951
2,0.09956666666666666,3.6920528242026847,0.001,0.222,1.8914064099286532
3,0.10640000000000002,3.0665766620198256,0.001,0.258,1.625761247586113
4,0.10713333333333329,2.981269069223075,0.001,0.272,1.6190652212530987
5,0.11176666666666661,2.949061783377536,0.001,0.272,1.5856216900659634
6,0.11550000000000002,2.9313119140443558,0.001,0.278,1.5753956746447821
7,0.12130000000000002,2.903519696895317,0.001,0.3,1.5959862456609328
8,0.11793333333333333,2.9184300017043596,0.001,0.272,1.6194668561755212
9,0.12473333333333336,2.8942547058112003,0.001,0.292,1.5810234838373036
10,0.12666666666666668,2.8995007553465424,0.001,0.308,1.546847214134527
11,0.12573333333333334,2.9041999043973536,0.001,0.292,1.5901936493309359
12,0.1366,2.8786211851067107,0.001,0.3,1.6313522683135195
13,0.1330666666666667,2.9711554416874693,0.001,0.304,1.5772952798535698
14,0.13836666666666667,2.875920860391472,0.001,0.336,1.5614144329694588
15,0.13183333333333333,2.846144758029207,0.001,0.324,1.5771114571241915
16,0.1433,2.8239200931351034,0.001,0.384,1.4768464297479278
17,0.149,2.8372399475806684,0.001,0.338,1.5661197622241751
18,0.15206666666666666,2.8135259568707016,0.001,0.302,1.5997374196025795
19,0.14126666666666668,2.8430362152227584,0.001,0.31,1.570871593367823
20,0.1515,2.8399207631364813,0.001,0.304,1.6233830431285572
21,0.1537666666666667,2.8110673067010943,0.001,0.304,1.5580339030005959
22,0.15143333333333334,2.8121046235611153,0.001,0.36,1.5063955456058893
23,0.1636666666666666,2.775249510738215,0.001,0.336,1.5228994839684924
24,0.16043333333333332,2.765698083168224,0.001,0.314,1.557530614176222
25,0.1642000000000001,2.7562584486824018,0.001,0.366,1.4935879576349103
26,0.16733333333333333,2.741353265582287,0.001,0.358,1.5245530158873444
27,0.16979999999999998,2.7715888117292913,0.001,0.35,1.5270395340287166
28,0.1703333333333333,2.761648139097683,0.001,0.362,1.5369882027746666
29,0.1764333333333333,2.720015008330396,0.001,0.334,1.5597606107102748
30,0.1797666666666667,2.7084293050977584,0.001,0.368,1.484703136160819
31,0.17466666666666664,2.714211794433364,0.001,0.362,1.489059485094903
32,0.1788,2.714237746322955,0.001,0.352,1.517616684332369
33,0.17923333333333338,2.705509345450997,0.001,0.342,1.4497489153375407
34,0.18660000000000004,2.691962481759956,0.001,0.344,1.5339129870580985
35,0.18606666666666669,2.6740675472641486,0.001,0.384,1.4398987907478258
36,0.19063333333333332,2.6644619305747286,0.001,0.36,1.5006687388195787
37,0.18476666666666655,2.6832109311505503,0.001,0.35,1.506296381653219
38,0.18290000000000006,2.684740438312555,0.001,0.366,1.49061092614913
39,0.19336666666666658,2.658696752373995,0.001,0.362,1.5033803416729048
40,0.19703333333333337,2.6149203992062438,0.0005,0.366,1.5339245656810463
41,0.20193333333333335,2.627286289218391,0.0005,0.392,1.4566011798370624
42,0.2002,2.6154021189806618,0.0005,0.384,1.4662427732197516
43,0.20926666666666668,2.600611497801516,0.0005,0.342,1.4246036589688666
44,0.20716666666666664,2.5979140201479107,0.0005,0.382,1.461706170882049
45,0.20670000000000002,2.607067108590675,0.0005,0.414,1.431038852836095
46,0.21140000000000012,2.596235474365535,0.0005,0.422,1.3839427598972223
47,0.20716666666666675,2.6136523191758796,0.0005,0.432,1.3963386541862985
48,0.2103666666666667,2.592123508881619,0.0005,0.38,1.430770503889747
49,0.22026666666666667,2.5726079404749096,0.0005,0.382,1.4239451752607764
50,0.21426666666666663,2.5820013136266224,0.0005,0.396,1.4073771627361586
51,0.21376666666666672,2.5865532805847637,0.0005,0.402,1.41814741603827
52,0.20900000000000005,2.5868340251378457,0.0005,0.388,1.4223563358217564
53,0.21616666666666667,2.563020665072858,0.0005,0.414,1.3917749597213689
54,0.21423333333333328,2.5904824929648105,0.0005,0.408,1.3680118466795488
55,0.21926666666666658,2.5711919367509766,0.0005,0.388,1.4949197756348487
56,0.21863333333333335,2.564352805422649,0.0005,0.402,1.4118727060750964
57,0.2189999999999999,2.554443063348502,0.0005,0.414,1.4178683808798564
58,0.21466666666666662,2.5710324399275026,0.0005,0.376,1.4539536398975046
59,0.2228666666666667,2.5446651774922295,0.0005,0.396,1.4000769444983039
60,0.21930000000000008,2.5698838977629945,0.0005,0.42,1.3790987725634862
61,0.22210000000000005,2.543147636251709,0.0005,0.382,1.4075021576652365
62,0.2172333333333334,2.5631572456099794,0.0005,0.358,1.4376153697038847
63,0.22030000000000002,2.5605577266718735,0.0005,0.354,1.4880871445243273
64,0.21810000000000002,2.556858399056121,0.0005,0.422,1.3787728948358717
65,0.2240333333333332,2.5455083010798867,0.0005,0.398,1.4477054109817105
66,0.2237333333333332,2.534724049831161,0.0005,0.416,1.3902358896649818
67,0.21689999999999995,2.5728870327969067,0.0005,0.408,1.3604967134234438
68,0.2274,2.532786161156383,0.0005,0.41,1.360406146527907
69,0.21870000000000003,2.5627475483991216,0.0005,0.38,1.434998204887918
70,0.2279333333333334,2.5372657261770595,0.0005,0.408,1.4425044955008388
71,0.22399999999999995,2.541995962807604,0.0005,0.436,1.391308953732762
72,0.22360000000000008,2.549042153019727,0.0005,0.398,1.4594740919038516
73,0.2258666666666667,2.530480668082472,0.0005,0.36,1.4658530578369577
74,0.22746666666666665,2.5081559771423754,0.0005,0.398,1.4021910085782028
75,0.23193333333333335,2.529303037583528,0.0005,0.374,1.462294451502518
76,0.22293333333333332,2.5376539144609453,0.0005,0.406,1.4117299659242253
77,0.2385,2.4839872616432506,0.0005,0.446,1.3599574894927784
78,0.23046666666666663,2.52217506767648,0.0005,0.388,1.402388219280652
79,0.2339666666666667,2.5004529296205735,0.0005,0.404,1.4240125648584494
80,0.23666666666666672,2.4885476933345982,0.00025,0.424,1.383318260136433
